Data/Hora,Empresa,Avaliação Atendimento,Tempo de Resposta,Problema Resolvido,Equipe Prestativa,Recomendaria (0-10),Melhorias no Suporte,Problemas Durante Processo,Comentário Adicional,Nota Soluções IA (1-10),Opinião sobre Marca e Produtos,Maior Preocupação,Canal de Comunicação Preferido,Funcionalidade Desejada
2025-09-10 09:42:53,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",Excelente,Sim,Sim,Sim,10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",📱 WhatsApp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
2025-09-11 15:56:50,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",Excelente,Sim,Sim,Sim,10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",📱 WhatsApp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
2025-09-11 16:05:07,,Excelente,Sim,Sim,Sim,10,"No Streamlit, um placeholder é um espaço reservado no app que você pode criar e depois atualizar dinamicamente.","No Streamlit, um placeholder é um espaço reservado no app que você pode criar e depois atualizar dinamicamente.","No Streamlit, um placeholder é um espaço reservado no app que você pode criar e depois atualizar dinamicamente.",10,"No Streamlit, um placeholder é um espaço reservado no app que você pode criar e depois atualizar dinamicamente.","No Streamlit, um placeholder é um espaço reservado no app que você pode criar e depois atualizar dinamicamente.",📱 WhatsApp,"No Streamlit, um placeholder é um espaço reservado no app que você pode criar e depois atualizar dinamicamente."
2025-12-03 08:15:30,Mytia ,Excelente,Sim,Sim,Sim,10,teste,teste,teste,10,teste,teste,📱 WhatsApp,teste
2025-12-03 09:09:13,mytia ,Excelente,Sim,Sim,Não,10,teste,teste,teste,10,teste,teste,📱 WhatsApp,teste
2025-12-03 09:13:52,Mytia,Excelente,Sim,Sim,Sim,10,teste,teste,teste,10,teste,teste,📱 WhatsApp,teste
2025-12-03 10:35:32,Mytia ,Bom,Não,Não,Não,5,teste,teste,teste,10,teste,teste,📱 WhatsApp,teste
2025-12-03 10:46:12,Mytia ,Bom,Não,Não,Não,5,teste,teste,teste,10,teste,teste,📱 WhatsApp,
2025-12-03 11:29:40,Mytia,Excelente,Sim,Sim,Sim,10,teste,teste,teste,10,teste,teste,📱 WhatsApp,teste
2025-12-03 11:30:19,teste,Excelente,Sim,Sim,Sim,10,teste,teste,teste,10,teste,teste,📱 WhatsApp,teste
2025-12-03 11:31:52,teste,Excelente,Sim,Não,Não,10,teste,teste,teste,10,teste,teste,📱 WhatsApp,teste
2025-12-03 11:33:10,teste,Excelente,Sim,Sim,Sim,10,teste,teste,teste,10,teste,teste,📱 WhatsApp,teste
2025-12-03 14:03:01,teste,Excelente,Parcialmente,Não,Não,10,teste,teste,teste,10,teste,teste,📧 Email,teste
